series_name,team_name,player_name,position_name,match_played,total_points,total_raid_points,tackle_points,total_raids,success_raids,unsuccess_raids,empty_raid,super_raids,success_raid_percent,tackle_success_rate,total_tackles,success_tackles,unsuccesful_tackles,super_tackles,most_point_in_a_match,green_cards,yellow_cards,red_cards
 Season 1,Bengal Warriors,Maninder Singh,Raider,16.0,137.0,130.0,7.0,175.0,103.0,42.0,30.0,3.0,74.28,36.84,19.0,6.0,13.0,1.0,13.0,0.0,0.0,0.0
 Season 5,Bengal Warriors,Maninder Singh,Raider,21.0,192.0,190.0,2.0,367.0,154.0,66.0,147.0,6.0,51.77,15.38,13.0,2.0,11.0,0.0,17.0,0.0,0.0,0.0
 Season 6,Bengal Warriors,Maninder Singh,Raider,22.0,206.0,206.0,0.0,376.0,158.0,77.0,141.0,6.0,54.78,0.0,5.0,0.0,5.0,0.0,17.0,0.0,0.0,0.0
 Season 7,Bengal Warriors,Maninder Singh,Raider,19.0,192.0,192.0,0.0,306.0,161.0,55.0,90.0,6.0,62.74,0.0,7.0,0.0,7.0,0.0,19.0,0.0,0.0,0.0
 Season 2,Bengal Warriors,Maninder Singh,Raider,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
 Overall,Bengal Warriors,Maninder Singh,Raider,78.0,727.0,718.0,9.0,1224.0,576.0,240.0,408.0,21.0,58.66,20.45,44.0,8.0,36.0,1.0,19.0,0.0,0.0,0.0
 Season 2,Patna Pirates,Pardeep Narwal,Raider,6.0,9.0,9.0,0.0,38.0,7.0,12.0,19.0,1.0,23.68,0.0,2.0,0.0,2.0,0.0,4.0,1.0,0.0,0.0
 Season 3,Patna Pirates,Pardeep Narwal,Raider,16.0,121.0,116.0,5.0,187.0,83.0,45.0,59.0,10.0,62.03,38.46,13.0,5.0,8.0,0.0,24.0,0.0,0.0,0.0
 Season 4,Patna Pirates,Pardeep Narwal,Raider,16.0,133.0,131.0,2.0,263.0,100.0,63.0,100.0,3.0,49.8,33.33,6.0,1.0,5.0,1.0,18.0,0.0,0.0,0.0
 Season 5,Patna Pirates,Pardeep Narwal,Raider,26.0,369.0,369.0,0.0,586.0,271.0,113.0,202.0,18.0,62.96,0.0,10.0,0.0,10.0,0.0,34.0,3.0,0.0,0.0
 Season 6,Patna Pirates,Pardeep Narwal,Raider,21.0,233.0,233.0,0.0,391.0,185.0,93.0,113.0,6.0,59.59,0.0,1.0,0.0,1.0,0.0,27.0,0.0,0.0,0.0
 Season 7,Patna Pirates,Pardeep Narwal,Raider,19.0,243.0,243.0,0.0,383.0,190.0,95.0,98.0,12.0,63.44,0.0,2.0,0.0,2.0,0.0,26.0,2.0,0.0,0.0
 Overall,Patna Pirates,Pardeep Narwal,Raider,104.0,1108.0,1101.0,7.0,1848.0,836.0,421.0,591.0,50.0,59.57,20.58,34.0,6.0,28.0,1.0,34.0,6.0,0.0,0.0
 Season 4,Gujarat Fortunegiants,Sunil Kumar,Defender,1.0,1.0,1.0,0.0,2.0,1.0,0.0,1.0,0.0,50.0,0.0,4.0,0.0,4.0,0.0,1.0,0.0,0.0,0.0
